id	document	label
8977576	이걸 영화라고 만들었나 ㅡ,.ㅡ	0
8714875	자극적이고 어지럽다.	0
9989137	여기자가 빼애애애애액! 거리고 불 키자마자 좀비 눈앞에 있음. 그러자 여기자는 아갈 묵념. 그렇게 소리 존나게 질러댔는데도 좀비도 같이 묵념. 그리고 사소한 소리들리면 좀비 졸라게 뛰어옴. 이게 영화냐 ㅅㅂ ㅋㅋㅋㅋ 어이없어서 웃음밖에 안나온다 ㅋㅋㅋ	0
8620141	성일이 오빠하고는 아무리 영화라지만 베드신은 싫었었나보다 그걸 대역을 쓰다니...	0
9293290	0점이 없는게 아쉬울따름., 연기파 홍경인 어떻게 이지경까지 추락했냐. 다르게 나아갈 방향은 없었던거냐 ?지금 한국배우 조연들 보면 개성넘치는 사람 많자나~ 최하저질급 시나리오,각본,연출 ,캐스팅..여 의 성괴같은 얼굴과 코구멍,가슴짝짝이만 생각난다	0
10042916	지루 노잼 따분 후회 하품	0
1985195	표절로부터 자유로울수 없는 작품 (건담)	0
10071153	518은 폭도들에의해발생된사건입니다	0
7039037	다세포소녀, 클레멘타인, 그리고이거	0
5268055	기대가 커서일까....	0
5800110	생각대로 T 의 광고로 하면 초대박을 터뜨렸을껀데 아쉽군 .	0
4763664	영화의 범주를 확대해석할수있다면 이것도 영화라고 칠 수 있겠다	0
1148884	코메디 스타군단 총출동 임에도 불구하고 이 모양이라니	0
8107114	이렇게 재미없어도 되나 싶을 정도로 드릅게 재미없네유.	0
9760002	연기는 훌륭하지만, 결론은 재미도 감동도 흥미유발도 없는 영화	0
7533478	원주율 재생	0
6724128	네이트판에서왔습니다.	0
6131095	당신의 소중한 두시간이 무의미하게 사라져도 좋다면 봐라.	0
8561246	이런영화 정신건강에 안좋타	0
8183547	유두안나와요ㅋㅋㅋ..릌ㅋ큼	0
6991614	3엄마때문에/에게도 가족일원임에도 소외당하는 느낌을 조금 심어주고 널리고 널려서 잘 써먹지도 않는 반전으로 엔딩을 해버리네 TV없어서 영화를 동네이장님댁에서 1년에 한번 옹기종기 모여 본다면 모를까 이게 명품호러라고?이게?부럽다 뭘봐도 잼께보겠어	0
10043722	좋은영화이다 평점은높다	0
8012647	알수 없는 감성을 자극해주는 냄새가 난다 . 그래서 좋다	0
6294415	제목이 이게 뭐냐. 감독 정신상태가 궁금하군. 전작 제목도 가관이구만. 옛다 관심	0
7252983	재미 더럽게없다..1점준거중에 한국영화는 10점주는 매미OO있네	0
